StimR,ChanR,probability
G_front_inf-Triangul,G_front_inf-Triangul,0.729
G_front_middle,G_front_inf-Triangul,0.1945
G_front_sup,G_front_inf-Triangul,0.10500000000000001
Lat_Fis-ant-Horizont,G_front_inf-Triangul,0.7515000000000001
Lat_Fis-ant-Vertical,G_front_inf-Triangul,0.7769999999999999
Lat_Fis-post,G_front_inf-Triangul,0.2435
S_front_inf,G_front_inf-Triangul,0.4325
S_front_middle,G_front_inf-Triangul,0.1865
S_front_sup,G_front_inf-Triangul,0.093
G_front_inf-Orbital,G_front_inf-Triangul,0.489
G_front_inf-Opercular,G_front_inf-Triangul,0.4235
G_and_S_frontomargin,G_front_inf-Triangul,0.1195
G_orbital,G_front_inf-Triangul,0.34199999999999997
G_rectus,G_front_inf-Triangul,0.0535
G_subcallosal,G_front_inf-Triangul,
S_orbital_lateral,G_front_inf-Triangul,0.4655
S_orbital_med-olfact,G_front_inf-Triangul,0.1325
S_orbital-H_Shaped,G_front_inf-Triangul,0.3075
S_suborbital,G_front_inf-Triangul,0.0245
S_circular_insula_sup,G_front_inf-Triangul,0.3725
S_circular_insula_ant,G_front_inf-Triangul,0.562
S_circular_insula_inf,G_front_inf-Triangul,0.131
G_insular_short,G_front_inf-Triangul,0.3215
G_Ins_lg_and_S_cent_ins,G_front_inf-Triangul,0.0555
S_precentral-sup-part,G_front_inf-Triangul,0.1625
S_precentral-inf-part,G_front_inf-Triangul,0.3245
S_postcentral,G_front_inf-Triangul,0.085
G_and_S_subcentral,G_front_inf-Triangul,0.1335
S_central,G_front_inf-Triangul,0.1215
G_postcentral,G_front_inf-Triangul,0.1355
G_and_S_paracentral,G_front_inf-Triangul,0.109
G_precentral,G_front_inf-Triangul,0.10200000000000001
G_oc-temp_med-Lingual,G_front_inf-Triangul,0.009
S_oc-temp_med_and_Lingual,G_front_inf-Triangul,0.0415
S_oc-temp_lat,G_front_inf-Triangul,0.02
G_oc-temp_lat-fusifor,G_front_inf-Triangul,0.005
S_collat_transv_post,G_front_inf-Triangul,0.0
S_collat_transv_ant,G_front_inf-Triangul,0.0505
Pole_temporal,G_front_inf-Triangul,0.044
G_oc-temp_med-Parahip,G_front_inf-Triangul,0.0785
PosteroHippocampus,G_front_inf-Triangul,0.0365
Hippocampus,G_front_inf-Triangul,0.0
AnteroHippocampus,G_front_inf-Triangul,0.0305
Amygdala,G_front_inf-Triangul,0.0605
S_temporal_transverse,G_front_inf-Triangul,0.26
S_temporal_inf,G_front_inf-Triangul,0.03
G_temporal_middle,G_front_inf-Triangul,0.056
G_temporal_inf,G_front_inf-Triangul,0.0385
G_temp_sup-Plan_tempo,G_front_inf-Triangul,0.25
G_temp_sup-Plan_polar,G_front_inf-Triangul,0.11
G_temp_sup-Lateral,G_front_inf-Triangul,0.11349999999999999
G_temp_sup-G_T_transv,G_front_inf-Triangul,0.14150000000000001
S_temporal_sup,G_front_inf-Triangul,0.07400000000000001
G_and_S_cingul-Ant,G_front_inf-Triangul,0.1195
G_and_S_cingul-Mid-Ant,G_front_inf-Triangul,0.099
G_and_S_cingul-Mid-Post,G_front_inf-Triangul,0.0345
S_cingul-Marginalis,G_front_inf-Triangul,0.0075
G_cingul-Post-ventral,G_front_inf-Triangul,0.028
S_pericallosal,G_front_inf-Triangul,0.12
G_cingul-Post-dorsal,G_front_inf-Triangul,0.0785
S_parieto_occipital,G_front_inf-Triangul,0.0385
S_subparietal,G_front_inf-Triangul,0.0175
S_intrapariet_and_P_trans,G_front_inf-Triangul,0.060000000000000005
G_pariet_inf-Angular,G_front_inf-Triangul,0.0095
G_parietal_sup,G_front_inf-Triangul,0.0
G_pariet_inf-Supramar,G_front_inf-Triangul,0.0975
S_interm_prim-Jensen,G_front_inf-Triangul,0.182
G_and_S_occipital_inf,G_front_inf-Triangul,0.0115
G_occipital_middle,G_front_inf-Triangul,0.0
G_occipital_sup,G_front_inf-Triangul,0.083
Pole_occipital,G_front_inf-Triangul,
S_calcarine,G_front_inf-Triangul,0.009
S_oc_middle_and_Lunatus,G_front_inf-Triangul,0.091
S_oc_sup_and_transversal,G_front_inf-Triangul,0.0
S_occipital_ant,G_front_inf-Triangul,0.043
G_front_inf-Triangul,G_front_middle,0.21150000000000002
G_front_middle,G_front_middle,0.309
G_front_sup,G_front_middle,0.14300000000000002
Lat_Fis-ant-Horizont,G_front_middle,0.1895
Lat_Fis-ant-Vertical,G_front_middle,0.28
Lat_Fis-post,G_front_middle,0.191
S_front_inf,G_front_middle,0.36550000000000005
S_front_middle,G_front_middle,0.3375
S_front_sup,G_front_middle,0.3245
G_front_inf-Orbital,G_front_middle,0.1805
G_front_inf-Opercular,G_front_middle,0.156
G_and_S_frontomargin,G_front_middle,0.208
G_orbital,G_front_middle,0.106
G_rectus,G_front_middle,0.0435
G_subcallosal,G_front_middle,0.0
S_orbital_lateral,G_front_middle,0.2435
S_orbital_med-olfact,G_front_middle,0.10450000000000001
S_orbital-H_Shaped,G_front_middle,0.155
S_suborbital,G_front_middle,0.049
S_circular_insula_sup,G_front_middle,0.136
S_circular_insula_ant,G_front_middle,0.135
S_circular_insula_inf,G_front_middle,0.02
G_insular_short,G_front_middle,0.08149999999999999
G_Ins_lg_and_S_cent_ins,G_front_middle,0.0165
S_precentral-sup-part,G_front_middle,0.2565
S_precentral-inf-part,G_front_middle,0.2645
S_postcentral,G_front_middle,0.0945
G_and_S_subcentral,G_front_middle,0.0695
S_central,G_front_middle,0.10700000000000001
G_postcentral,G_front_middle,0.0455
G_and_S_paracentral,G_front_middle,0.0225
G_precentral,G_front_middle,0.1095
G_oc-temp_med-Lingual,G_front_middle,0.0215
S_oc-temp_med_and_Lingual,G_front_middle,0.056
S_oc-temp_lat,G_front_middle,0.0255
G_oc-temp_lat-fusifor,G_front_middle,0.025
S_collat_transv_post,G_front_middle,0.0
S_collat_transv_ant,G_front_middle,0.021
Pole_temporal,G_front_middle,0.0285
G_oc-temp_med-Parahip,G_front_middle,0.0445
PosteroHippocampus,G_front_middle,0.035
Hippocampus,G_front_middle,0.0
AnteroHippocampus,G_front_middle,0.024
Amygdala,G_front_middle,0.036
S_temporal_transverse,G_front_middle,0.07050000000000001
S_temporal_inf,G_front_middle,0.0125
G_temporal_middle,G_front_middle,0.028
G_temporal_inf,G_front_middle,0.052500000000000005
